feature,gain,gain_pct
credit_score,79774.8778655827,45.859687900418365
credit_score_pctrank,25821.299015045166,14.843729576228315
dti,13203.841538990615,7.590410267816038
latest_roll3_avg_days_late,6195.855788886547,3.561773083916235
loan_to_income_ratio,5860.557738125324,3.3690223787702194
pctrank_avg_lateness,4470.080720067024,2.569687503092911
avg_days_late_momentum,4386.753513216972,2.5217857099219354
dti_decile,3963.477327287197,2.2784595613676726
annual_income,3648.5567134022713,2.0974231066268043
interest_rate,3597.3199341893196,2.0679689380138764
employment_length_yrs,3579.7175076007843,2.0578499405144326
max_days_late_ever,2952.572275876999,1.6973268615126835
latest_balance,2785.6967603564262,1.601396171742282
pct_balance_paid_down,2543.272438123822,1.4620352093126032
delinq_2yrs,2539.675850749016,1.4599676614964459
loan_amount,2258.8496282100677,1.2985308374678401
age,1996.5290017724037,1.1477322103794547
open_accounts,1338.5458230227232,0.7694815125591586
income_pctrank,820.098779797554,0.47144508516077116
n_inquiries_24mo,584.2198219299316,0.33584681563647495
owns_home,538.8622131347656,0.30977236915771705
is_renter,292.25280280411243,0.16800555116113072
n_payments_observed,289.2452700138092,0.16627662949050181
is_small_business,205.58931922912598,0.11818585333835824
total_late_payments,142.74850797653198,0.08206094699492426
n_inquiries_6mo,142.47273874282837,0.08190241725061685
is_debt_consolidation,21.28486967086792,0.012235900652230394
term_months,0.0,0.0
